x, y
1,0.377878752
2,0.195106228
3,0.132680475
4,0.085392447
5,0.05807047
6,0.03806644
7,0.026366509
8,0.018601051
9,0.0126495
10,0.009257787
11,0.006652219
12,0.004868558
13,0.003834706
14,0.002705309
15,0.002130829
16,0.001773388
17,0.001228328
18,0.001120577
19,0.000820117
20,0.000734562
21,0.000568049
22,0.000431289
23,0.000379269
24,0.000267567
25,0.000287959
26,0.000199453
27,0.00016001
28,0.000165995
29,0.00016001
30,0.000145974
31,0.000126031
32,9.39E-05
33,0.00010489
34,6.63E-05
35,9.93E-05
36,7.68E-05
37,4.51E-05
38,5.42E-05
39,5.13E-05
40,3.55E-05
41,8.26E-05
42,3.96E-05
43,3.42E-05
44,2.37E-05
45,6.88E-05
46,4.51E-05
47,2.95E-05
48,3.82E-05
49,1.94E-05
50,2.24E-05
51,4.94E-05
52,1.53E-05
53,1.53E-05
54,4.94E-05
55,1.64E-05
56,1.97E-05
57,3.07E-05
58,3.07E-05
59,3.82E-05
60,3.82E-05
61,2.20E-05
62,2.20E-05
63,2.20E-05
64,2.20E-05
65,2.41E-05
66,3.30E-05
67,3.30E-05
68,1.64E-05
69,2.85E-05
70,2.85E-05
71,2.85E-05
72,1.61E-05
73,1.61E-05
74,1.64E-05
75,1.64E-05
76,1.64E-05
77,1.64E-05
78,1.64E-05
79,1.64E-05
80,1.64E-05
81,1.64E-05
82,2.85E-05
83,1.64E-05
84,1.64E-05
85,1.64E-05
86,1.64E-05
87,1.64E-05
88,2.85E-05
89,2.85E-05
90,2.85E-05
91,2.85E-05
92,1.64E-05
93,1.64E-05
94,1.64E-05
